query,command,description,syntax
What command network location test (ad)?,NLTEST,Network Location Test (AD),"Syntax
      NLTEST [/server:servername] [operation[parameter]

Key
   /server: ServerName 
            Run nltest at a remote domain controller: ServerName.
            default = the local computer (a domain controller).

   /query   Report on the state of the secure channel the last time you used it.
            (The secure channel is the one that the NetLogon service established.)

   /repl    Force synchronization with the primary domain controller (PDC).
            Nltest synchronizes only changes that are not yet replicated to the backup
            domain controller (BDC). NT 4.0 BDCs only, not for Active Directory replication.
            You must have administrative credentials to use this parameter.

   /sync    Force an immediate synchronization with the PDC of the entire SAM database.
            NT 4.0 BDCs only, not for Active Directory replication.
            You must have administrative credentials to use this parameter.

   /pdc_repl Force the PDC to send a synchronization notification to all BDCs.
            NT 4.0 PDCs only, not for Active Directory replication.
            You must have administrative credentials to use this parameter.

   /sc_query: DomainName
             Report on the state of the secure channel the last time that you used it.
            (The secure channel is the one that the NetLogon service established.)
            This parameter lists the name of the domain controller that you queried on the
            secure channel, also.

   /sc_reset:[ DomainName]
            Remove, and then rebuild, the secure channel that the NetLogon service established.
            You must have administrative credentials to use this parameter.

   /sc_verify:[ DomainName]
            Check the status of the secure channel that the NetLogon service established.
            If the secure channel does not work, this parameter removes the existing channel, and
            then builds a new one. You must have administrative credentials to use this parameter.

   /sc_change_pwd:[ DomainName]
            Change the password for the trust account of a domain that you specify.
            If you run nltest on a domain controller, and an explicit trust relationship exists,
            then nltest resets the password for the interdomain trust account.
            Otherwise, nltest changes the computer account password for the domain that you specify.

   /dclist:[ DomainName]
            List all DCs in the domain.
            This command first queries Active Directory for a list of DCs.
            If this query is unsuccessful, nltest then uses the Browser service (if netbios is enabled).

   /dcname:[ DomainName]
            List the primary domain controller or the PDC emulator for DomainName.

   /dsgetdc:[ DomainName]
            Query the Domain Name System (DNS) server for a list of DCs and their
            IP addresses. This parameter also contacts each domain controller to check for connectivity.
            The following list shows the values that you can use to filter the list of DCs
            or specify alternate names types in the syntax.

            /PDC: Return only the PDC (Windows NT 4.0) or domain controllers designated as the PDC
                  emulator (Windows 2000 and later).
            /DS:  Return only those DCs that are Windows 2000 and later.
            /DSP: Return only Windows 2000 and later DCs. If the query finds no such server,
                  then return Windows NT 4.0 DCs.
            /GC:  Return only those DCs that are designated as global catalog servers.
            /KDC: Return only those DCs that are designated as Kerberos key distribution centers.
            /TIMESERV: Return only those DCs that are designated as time servers.
            /GTTIMESERV: Return only DCs designated as master time servers.
            /WS: /NetBIOS: Specifies computer names in the syntax as NetBIOS names.
            /DNS: Specify computer names in the syntax as fully qualified domain names (FQDNs).
                  If you do not specify a return format, the DC can return either NetBIOS or DNS format.
            /IP:  Return only DCs that have IP addresses. i.e. return only TCP/IP DCs.
            /FORCE: Force the computer to run the command against the DNS server instead of looking in
                    the cache for the information.
            /Writable: Require that the returned DC be writable; All Windows 2000 DCs are writable
            /Avoidself: When called from a DC, specifies that the returned DC name should
                        not be the current computer. If the current computer is not a DC, this flag is ignored.
                        This flag can be used to obtain the name of another DC in the domain.
            /LDAPOnly: Specifies that the server returned is an LDAP server. The server returned is not
                       necessarily a DC. This flag can be used with the DS_GC_SERVER_REQUIRED flag
                       to return an LDAP server that also hosts a global catalog server.
                       If this flag is specified, the DS_PDC_REQUIRED, DS_TIMESERV_REQUIRED, 
                       DS_GOOD_TIMESERV_PREFERRED, DS_DIRECTORY_SERVICES_PREFERED,
                       DS_DIRECTORY_SERVICES_REQUIRED, and DS_KDC_REQUIRED flags are ignored.
            /Backg: If the DS_FORCE_REDISCOVERY flag is not specified, this function uses cached DC data.
                    If the cached data is more than 15 minutes old, the cache is refreshed by pinging
                    the DC. If this flag is specified, this refresh is avoided even if the cached data
                    is expired. This flag should be used if the DsGetDcName function is called periodically.
            /DS_6: Require that the returned DC be running Windows Server 2008 or later.
            /DS_8: Require that the returned domain controller be running Windows Server 2012 or later.
            /Try_Next_Closest_Site: When this flag is specified, DsGetDcName attempts to find a DC in
                                    the same site as the caller.
            /Ret_DNS: Specifies that the names returned in the DomainControllerName and DomainName members
                      of DomainControllerInfo should be DNS names.
            /Ret_NETBIOS: Specifies that the names returned in the DomainControllerName and DomainName members
                          of DomainControllerInfo should be flat names.

   /dnsgetdc: DomainName
            Query the DNS server for a list of domain controllers and their corresponding IP addresses.
            values that you can use to filter the list of DCs:
               /PDC: Return only those DCs that are PDCs (Windows NT 4.0) or designated as PDC emulators.
               /GC:  Return only those DCs that you designate as global catalogs.
               /KDC: Return only those DCs that you designate as Kerberos key distribution centers.
               /WRITABLE: Return only those DCs that can accept changes to the directory database.
                          This value returns all Active Directory DCs, but not Windows NT 4.0 BDCs.
               /LDAPONLY: Return servers that are running a Lightweight Directory Access Protocol (LDAP) application.
                          The servers can include LDAP servers that are not DCs.
               /FORCE:    Run the command against the DNS server instead of looking in cache.
               /SITE Sitename: Sort to list first the records that pertain to Sitename.
               /SITESPEC:      Filter the returned records to display only Sitename, used only with /SITE.

   /dsgetfti: DomainName[ /UpdateTDO]
            Return information about interforest trusts. You use this parameter only for a Windows Server 2008
            domain controller that is in the root of the forest. If no interforest trusts exist, this parameter
            returns an error. The /UpdateTDO value updates the locally stored information on the interforest trust.

   /dsgetsite
            Return the name of the site in which the DC resides.

   /dsgetsitecov
            Return the name of the site that the DC covers. A DC can cover a site
            that has no local DC of its own.

   /parentdomain
            Return the name of the parent domain of the server.

   /dsregdns
            Refreshe the registration of all DNS records that are specific to a DC that you specify.


   /dsderegdns: DnsHostName
            Deregisters DNS host records for the host that you specify in the DnsHostName parameter.
            values you can use to specify which records nltest deregisters:
               /DOM:  Specify a DNS domain name for the host to use when you search for records on the DNS server.
                      If you do not specify this value, nltest uses the DNS domain name as the suffix of the
                      DnsHostName parameter.
               /DSAGUID: Deletes Directory System Agent (DSA) records that are based on a GUID.
               DOMGUID: Deletes DNS records that are based on a globally unique identifier (GUID).

   /whowill: Domain/ User
            Find the DC that has the user account that you specify. Use this parameter to determine
            whether nltest has replicated the account information to other DCs.

   /finduser: User
            Find the directly-trusted domain that the user account User belongs to.
            Use this parameter to troubleshoot logon issues of older client Operating Systems.

   /transport_notify    Flushe the negative cache to force the discovery of a domain controller.
                        You can use this parameter for Windows NT 4.0 domain controllers only.
                        This operation is done automatically when clients log on to Windows 2000 and
                        Windows Server 2003 domain controllers.
   /dbflag: HexadecimalFlags
            Set a new debug flag. For most purposes, use 0x2000FFFF as the value for HexadecimalFlags.
            The entry in the Windows Server 2003 registry for debug flags is
            HKLM\System\CurrentControlSet\Services\Netlogon\Parameters\DBFlag.

   /user: UserName
            Display many of the attributes that you maintain in the SAM account database for the user that
            you specify. You cannot use this parameter for user accounts that are stored in an AD database.

   /time: HexadecimalLSL HexadecimalMSL
            Convert Windows NT Greenwich Mean Time (GMT) time to ASCII. HexadecimalLSL is a hex value for
            least significant longword. HexadecimalMSL is a hexa value for most significant longword.

   /logon_query
            Query the cumulative number of NTLM logon attempts at a console or over a network.

   /domain_trusts
            Returns a list of trusted domains. /Primary /Forest /Direct_Out /Direct_In /All_Trusts /v.
            values that you can use to filter the list of domains:
               /Primary: Return only the domain to which the computer account belongs.
               /Forest: Return only those domains that are in the same forest as the primary domain.
               /Direct_Out: Return only the domains that are explicitly trusted with the primary domain.
               /Direct_In: Return only the domains that explicitly trust the primary domain.
               /All_Trusts: Return all trusted domains.
               /v: Display verbose output, including any domain SIDs and GUIDs that are available.

   /dsquerydns
            Query for the status of the last update for all DNS records that are specific to a DC.

   /bdc_query: DomainName
            Query for a list of BDCs in DomainName, and then display their state of synchronization
            and replication status. You can use this parameter only for Windows NT 4.0 domain controllers.

   /sim_sync: DomainName ServerName
            Simulate full synchronization replication. This is a useful parameter for test environments.

   /list_deltas: FileName
            Display the contents of the FileName change log file, which lists changes to the user account 
            database. Netlogon.chg is the default name for this log file, which resides only on Windows NT 4.0 BDCs.

   /cdigest: Message /domain: DomainName
            Display the current digest that the client uses for the secure channel.
            (The digest is the calculation that nltest derives from the password.)
            This parameter displays the digest that is based on the previous password, also. Nltest uses
            the secure channel for logons between client computers and a domain controller, or for
            directory service replication between domain controllers. You can use this parameter in
            conjunction with the /sdigest parameter to check the synchronization of trust account passwords.

   /sdigest: <Message> /rid: RID_In_Hexadecimal
            Display the current digest that the server uses for the secure channel.
            (The digest is the calculation that nltest derives from the password.)
            This parameter displays the digest for the previous password, also. If the digest from the
            server matches the digest from the client, then nltest synchronizes the passwords that it
            uses for the secure channel. If the digests do not match, then nltest might not have replicated
            the password change yet.

   /shutdown: Reason [Seconds]
            Remotely shut down the server that you specify in ServerName.
            Use a string to specify the reason for the shutdown in the Reason value.
            Use an integer value of Seconds before the shutdown will occur.
            (see InitiateSystemShutdown in the Platform SDK documentation.)

   /shutdown_abort
            Terminate a system shutdown.

  {/help | /?}   Display help at the command prompt."
I need to network location test (ad),NLTEST,Network Location Test (AD),"Syntax
      NLTEST [/server:servername] [operation[parameter]

Key
   /server: ServerName 
            Run nltest at a remote domain controller: ServerName.
            default = the local computer (a domain controller).

   /query   Report on the state of the secure channel the last time you used it.
            (The secure channel is the one that the NetLogon service established.)

   /repl    Force synchronization with the primary domain controller (PDC).
            Nltest synchronizes only changes that are not yet replicated to the backup
            domain controller (BDC). NT 4.0 BDCs only, not for Active Directory replication.
            You must have administrative credentials to use this parameter.

   /sync    Force an immediate synchronization with the PDC of the entire SAM database.
            NT 4.0 BDCs only, not for Active Directory replication.
            You must have administrative credentials to use this parameter.

   /pdc_repl Force the PDC to send a synchronization notification to all BDCs.
            NT 4.0 PDCs only, not for Active Directory replication.
            You must have administrative credentials to use this parameter.

   /sc_query: DomainName
             Report on the state of the secure channel the last time that you used it.
            (The secure channel is the one that the NetLogon service established.)
            This parameter lists the name of the domain controller that you queried on the
            secure channel, also.

   /sc_reset:[ DomainName]
            Remove, and then rebuild, the secure channel that the NetLogon service established.
            You must have administrative credentials to use this parameter.

   /sc_verify:[ DomainName]
            Check the status of the secure channel that the NetLogon service established.
            If the secure channel does not work, this parameter removes the existing channel, and
            then builds a new one. You must have administrative credentials to use this parameter.

   /sc_change_pwd:[ DomainName]
            Change the password for the trust account of a domain that you specify.
            If you run nltest on a domain controller, and an explicit trust relationship exists,
            then nltest resets the password for the interdomain trust account.
            Otherwise, nltest changes the computer account password for the domain that you specify.

   /dclist:[ DomainName]
            List all DCs in the domain.
            This command first queries Active Directory for a list of DCs.
            If this query is unsuccessful, nltest then uses the Browser service (if netbios is enabled).

   /dcname:[ DomainName]
            List the primary domain controller or the PDC emulator for DomainName.

   /dsgetdc:[ DomainName]
            Query the Domain Name System (DNS) server for a list of DCs and their
            IP addresses. This parameter also contacts each domain controller to check for connectivity.
            The following list shows the values that you can use to filter the list of DCs
            or specify alternate names types in the syntax.

            /PDC: Return only the PDC (Windows NT 4.0) or domain controllers designated as the PDC
                  emulator (Windows 2000 and later).
            /DS:  Return only those DCs that are Windows 2000 and later.
            /DSP: Return only Windows 2000 and later DCs. If the query finds no such server,
                  then return Windows NT 4.0 DCs.
            /GC:  Return only those DCs that are designated as global catalog servers.
            /KDC: Return only those DCs that are designated as Kerberos key distribution centers.
            /TIMESERV: Return only those DCs that are designated as time servers.
            /GTTIMESERV: Return only DCs designated as master time servers.
            /WS: /NetBIOS: Specifies computer names in the syntax as NetBIOS names.
            /DNS: Specify computer names in the syntax as fully qualified domain names (FQDNs).
                  If you do not specify a return format, the DC can return either NetBIOS or DNS format.
            /IP:  Return only DCs that have IP addresses. i.e. return only TCP/IP DCs.
            /FORCE: Force the computer to run the command against the DNS server instead of looking in
                    the cache for the information.
            /Writable: Require that the returned DC be writable; All Windows 2000 DCs are writable
            /Avoidself: When called from a DC, specifies that the returned DC name should
                        not be the current computer. If the current computer is not a DC, this flag is ignored.
                        This flag can be used to obtain the name of another DC in the domain.
            /LDAPOnly: Specifies that the server returned is an LDAP server. The server returned is not
                       necessarily a DC. This flag can be used with the DS_GC_SERVER_REQUIRED flag
                       to return an LDAP server that also hosts a global catalog server.
                       If this flag is specified, the DS_PDC_REQUIRED, DS_TIMESERV_REQUIRED, 
                       DS_GOOD_TIMESERV_PREFERRED, DS_DIRECTORY_SERVICES_PREFERED,
                       DS_DIRECTORY_SERVICES_REQUIRED, and DS_KDC_REQUIRED flags are ignored.
            /Backg: If the DS_FORCE_REDISCOVERY flag is not specified, this function uses cached DC data.
                    If the cached data is more than 15 minutes old, the cache is refreshed by pinging
                    the DC. If this flag is specified, this refresh is avoided even if the cached data
                    is expired. This flag should be used if the DsGetDcName function is called periodically.
            /DS_6: Require that the returned DC be running Windows Server 2008 or later.
            /DS_8: Require that the returned domain controller be running Windows Server 2012 or later.
            /Try_Next_Closest_Site: When this flag is specified, DsGetDcName attempts to find a DC in
                                    the same site as the caller.
            /Ret_DNS: Specifies that the names returned in the DomainControllerName and DomainName members
                      of DomainControllerInfo should be DNS names.
            /Ret_NETBIOS: Specifies that the names returned in the DomainControllerName and DomainName members
                          of DomainControllerInfo should be flat names.

   /dnsgetdc: DomainName
            Query the DNS server for a list of domain controllers and their corresponding IP addresses.
            values that you can use to filter the list of DCs:
               /PDC: Return only those DCs that are PDCs (Windows NT 4.0) or designated as PDC emulators.
               /GC:  Return only those DCs that you designate as global catalogs.
               /KDC: Return only those DCs that you designate as Kerberos key distribution centers.
               /WRITABLE: Return only those DCs that can accept changes to the directory database.
                          This value returns all Active Directory DCs, but not Windows NT 4.0 BDCs.
               /LDAPONLY: Return servers that are running a Lightweight Directory Access Protocol (LDAP) application.
                          The servers can include LDAP servers that are not DCs.
               /FORCE:    Run the command against the DNS server instead of looking in cache.
               /SITE Sitename: Sort to list first the records that pertain to Sitename.
               /SITESPEC:      Filter the returned records to display only Sitename, used only with /SITE.

   /dsgetfti: DomainName[ /UpdateTDO]
            Return information about interforest trusts. You use this parameter only for a Windows Server 2008
            domain controller that is in the root of the forest. If no interforest trusts exist, this parameter
            returns an error. The /UpdateTDO value updates the locally stored information on the interforest trust.

   /dsgetsite
            Return the name of the site in which the DC resides.

   /dsgetsitecov
            Return the name of the site that the DC covers. A DC can cover a site
            that has no local DC of its own.

   /parentdomain
            Return the name of the parent domain of the server.

   /dsregdns
            Refreshe the registration of all DNS records that are specific to a DC that you specify.


   /dsderegdns: DnsHostName
            Deregisters DNS host records for the host that you specify in the DnsHostName parameter.
            values you can use to specify which records nltest deregisters:
               /DOM:  Specify a DNS domain name for the host to use when you search for records on the DNS server.
                      If you do not specify this value, nltest uses the DNS domain name as the suffix of the
                      DnsHostName parameter.
               /DSAGUID: Deletes Directory System Agent (DSA) records that are based on a GUID.
               DOMGUID: Deletes DNS records that are based on a globally unique identifier (GUID).

   /whowill: Domain/ User
            Find the DC that has the user account that you specify. Use this parameter to determine
            whether nltest has replicated the account information to other DCs.

   /finduser: User
            Find the directly-trusted domain that the user account User belongs to.
            Use this parameter to troubleshoot logon issues of older client Operating Systems.

   /transport_notify    Flushe the negative cache to force the discovery of a domain controller.
                        You can use this parameter for Windows NT 4.0 domain controllers only.
                        This operation is done automatically when clients log on to Windows 2000 and
                        Windows Server 2003 domain controllers.
   /dbflag: HexadecimalFlags
            Set a new debug flag. For most purposes, use 0x2000FFFF as the value for HexadecimalFlags.
            The entry in the Windows Server 2003 registry for debug flags is
            HKLM\System\CurrentControlSet\Services\Netlogon\Parameters\DBFlag.

   /user: UserName
            Display many of the attributes that you maintain in the SAM account database for the user that
            you specify. You cannot use this parameter for user accounts that are stored in an AD database.

   /time: HexadecimalLSL HexadecimalMSL
            Convert Windows NT Greenwich Mean Time (GMT) time to ASCII. HexadecimalLSL is a hex value for
            least significant longword. HexadecimalMSL is a hexa value for most significant longword.

   /logon_query
            Query the cumulative number of NTLM logon attempts at a console or over a network.

   /domain_trusts
            Returns a list of trusted domains. /Primary /Forest /Direct_Out /Direct_In /All_Trusts /v.
            values that you can use to filter the list of domains:
               /Primary: Return only the domain to which the computer account belongs.
               /Forest: Return only those domains that are in the same forest as the primary domain.
               /Direct_Out: Return only the domains that are explicitly trusted with the primary domain.
               /Direct_In: Return only the domains that explicitly trust the primary domain.
               /All_Trusts: Return all trusted domains.
               /v: Display verbose output, including any domain SIDs and GUIDs that are available.

   /dsquerydns
            Query for the status of the last update for all DNS records that are specific to a DC.

   /bdc_query: DomainName
            Query for a list of BDCs in DomainName, and then display their state of synchronization
            and replication status. You can use this parameter only for Windows NT 4.0 domain controllers.

   /sim_sync: DomainName ServerName
            Simulate full synchronization replication. This is a useful parameter for test environments.

   /list_deltas: FileName
            Display the contents of the FileName change log file, which lists changes to the user account 
            database. Netlogon.chg is the default name for this log file, which resides only on Windows NT 4.0 BDCs.

   /cdigest: Message /domain: DomainName
            Display the current digest that the client uses for the secure channel.
            (The digest is the calculation that nltest derives from the password.)
            This parameter displays the digest that is based on the previous password, also. Nltest uses
            the secure channel for logons between client computers and a domain controller, or for
            directory service replication between domain controllers. You can use this parameter in
            conjunction with the /sdigest parameter to check the synchronization of trust account passwords.

   /sdigest: <Message> /rid: RID_In_Hexadecimal
            Display the current digest that the server uses for the secure channel.
            (The digest is the calculation that nltest derives from the password.)
            This parameter displays the digest for the previous password, also. If the digest from the
            server matches the digest from the client, then nltest synchronizes the passwords that it
            uses for the secure channel. If the digests do not match, then nltest might not have replicated
            the password change yet.

   /shutdown: Reason [Seconds]
            Remotely shut down the server that you specify in ServerName.
            Use a string to specify the reason for the shutdown in the Reason value.
            Use an integer value of Seconds before the shutdown will occur.
            (see InitiateSystemShutdown in the Platform SDK documentation.)

   /shutdown_abort
            Terminate a system shutdown.

  {/help | /?}   Display help at the command prompt."
How do I manage hyper-v network bindings?,NMBIND,Manage Hyper-V network bindings,"Syntax
      NMBIND [option] [NIC|*] [protocol|*]

Options

   /n   Display NIC information only.

   /u   Unbind switch protocol from specified nic(s).

   /b   Bind switch protocol to specified nic(s).

   /d   Disable binding of specified protocol from specified nic(s).

   /e   Enable binding of specified protocol to specified nic(s)"
Show me how to manage hyper-v network bindings,NMBIND,Manage Hyper-V network bindings,"Syntax
      NMBIND [option] [NIC|*] [protocol|*]

Options

   /n   Display NIC information only.

   /u   Unbind switch protocol from specified nic(s).

   /b   Bind switch protocol to specified nic(s).

   /d   Disable binding of specified protocol from specified nic(s).

   /e   Enable binding of specified protocol to specified nic(s)"
What command manage hyper-v network bindings?,NMBIND,Manage Hyper-V network bindings,"Syntax
      NMBIND [option] [NIC|*] [protocol|*]

Options

   /n   Display NIC information only.

   /u   Unbind switch protocol from specified nic(s).

   /b   Bind switch protocol to specified nic(s).

   /d   Disable binding of specified protocol from specified nic(s).

   /e   Enable binding of specified protocol to specified nic(s)"
I need to manage hyper-v network bindings,NMBIND,Manage Hyper-V network bindings,"Syntax
      NMBIND [option] [NIC|*] [protocol|*]

Options

   /n   Display NIC information only.

   /u   Unbind switch protocol from specified nic(s).

   /b   Bind switch protocol to specified nic(s).

   /d   Disable binding of specified protocol from specified nic(s).

   /e   Enable binding of specified protocol to specified nic(s)"
How do I name server lookup?,NSLOOKUP,Name server lookup,"Syntax
  Lookup the ip address of MyHost:

     NSLOOKUP [-option] MyHost
     
  Lookup ip address of MyHost on MyNameServer:
   
     NSLOOKUP [-option] MyHost MyNameServer
   
  Enter ""command"" mode:
   
     NSLOOKUP

Command Mode options:

 help or ?          - print a list of Command Mode options
 exit or ^C         - exit ""command mode"" 

 set all            - print options, current server and host
 finger [USER]      - finger the optional USER at the current default host
 MyHost             - print ip address of MyHost
 MyHost MyNameServer - print ip address of MyHost on MyNameServer
 set [no]debug      - print debugging info
 set [no]d2         - print exhaustive debugging info

 set domain=NAME    - set default domain name to NAME
 set root=NAME      - set root server to NAME
 root               - set current default server to the root
 server NAME        - set default server to NAME, using current default server
 lserver NAME       - set default server to NAME, using initial server
 set srchlist=N1[/N2/.../N6] - set domain to N1 and search list to N1, N2,...

 set retry=X        - set number of retries to X
 set timeout=X      - set initial time-out interval to X seconds
 set [no]defname    - append domain name to each query
 set [no]recurse    - ask for recursive answer to query
 set [no]search     - use domain search list
 set [no]vc         - always use a virtual circuit
 set class=X        - set query class (for example, IN (Internet), ANY)
 set [no]msxfr      - use MS fast zone transfer
 set ixfrver=X      - current version to use in IXFR transfer request
 set type=X         - set query type 
 set querytype=X    - set query type
                      (e.g. A, ANY, CNAME, MX, NS, PTR, SOA, SRV)

 ls [opt] DOMAIN [> FILE] - list addresses in DOMAIN
                            (and optionally output to FILE)

    -d          -  list all records
    -t TYPE     -  list records of the given Type (for example, A, CNAME, 
                   MX, NS, PTR, and so on)
    -a          -  list Aliases and canonical names.

 view FILE       - sort an 'ls' output file and view it with pg"
Show me how to name server lookup,NSLOOKUP,Name server lookup,"Syntax
  Lookup the ip address of MyHost:

     NSLOOKUP [-option] MyHost
     
  Lookup ip address of MyHost on MyNameServer:
   
     NSLOOKUP [-option] MyHost MyNameServer
   
  Enter ""command"" mode:
   
     NSLOOKUP

Command Mode options:

 help or ?          - print a list of Command Mode options
 exit or ^C         - exit ""command mode"" 

 set all            - print options, current server and host
 finger [USER]      - finger the optional USER at the current default host
 MyHost             - print ip address of MyHost
 MyHost MyNameServer - print ip address of MyHost on MyNameServer
 set [no]debug      - print debugging info
 set [no]d2         - print exhaustive debugging info

 set domain=NAME    - set default domain name to NAME
 set root=NAME      - set root server to NAME
 root               - set current default server to the root
 server NAME        - set default server to NAME, using current default server
 lserver NAME       - set default server to NAME, using initial server
 set srchlist=N1[/N2/.../N6] - set domain to N1 and search list to N1, N2,...

 set retry=X        - set number of retries to X
 set timeout=X      - set initial time-out interval to X seconds
 set [no]defname    - append domain name to each query
 set [no]recurse    - ask for recursive answer to query
 set [no]search     - use domain search list
 set [no]vc         - always use a virtual circuit
 set class=X        - set query class (for example, IN (Internet), ANY)
 set [no]msxfr      - use MS fast zone transfer
 set ixfrver=X      - current version to use in IXFR transfer request
 set type=X         - set query type 
 set querytype=X    - set query type
                      (e.g. A, ANY, CNAME, MX, NS, PTR, SOA, SRV)

 ls [opt] DOMAIN [> FILE] - list addresses in DOMAIN
                            (and optionally output to FILE)

    -d          -  list all records
    -t TYPE     -  list records of the given Type (for example, A, CNAME, 
                   MX, NS, PTR, and so on)
    -a          -  list Aliases and canonical names.

 view FILE       - sort an 'ls' output file and view it with pg"
What command name server lookup?,NSLOOKUP,Name server lookup,"Syntax
  Lookup the ip address of MyHost:

     NSLOOKUP [-option] MyHost
     
  Lookup ip address of MyHost on MyNameServer:
   
     NSLOOKUP [-option] MyHost MyNameServer
   
  Enter ""command"" mode:
   
     NSLOOKUP

Command Mode options:

 help or ?          - print a list of Command Mode options
 exit or ^C         - exit ""command mode"" 

 set all            - print options, current server and host
 finger [USER]      - finger the optional USER at the current default host
 MyHost             - print ip address of MyHost
 MyHost MyNameServer - print ip address of MyHost on MyNameServer
 set [no]debug      - print debugging info
 set [no]d2         - print exhaustive debugging info

 set domain=NAME    - set default domain name to NAME
 set root=NAME      - set root server to NAME
 root               - set current default server to the root
 server NAME        - set default server to NAME, using current default server
 lserver NAME       - set default server to NAME, using initial server
 set srchlist=N1[/N2/.../N6] - set domain to N1 and search list to N1, N2,...

 set retry=X        - set number of retries to X
 set timeout=X      - set initial time-out interval to X seconds
 set [no]defname    - append domain name to each query
 set [no]recurse    - ask for recursive answer to query
 set [no]search     - use domain search list
 set [no]vc         - always use a virtual circuit
 set class=X        - set query class (for example, IN (Internet), ANY)
 set [no]msxfr      - use MS fast zone transfer
 set ixfrver=X      - current version to use in IXFR transfer request
 set type=X         - set query type 
 set querytype=X    - set query type
                      (e.g. A, ANY, CNAME, MX, NS, PTR, SOA, SRV)

 ls [opt] DOMAIN [> FILE] - list addresses in DOMAIN
                            (and optionally output to FILE)

    -d          -  list all records
    -t TYPE     -  list records of the given Type (for example, A, CNAME, 
                   MX, NS, PTR, and so on)
    -a          -  list Aliases and canonical names.

 view FILE       - sort an 'ls' output file and view it with pg"
I need to name server lookup,NSLOOKUP,Name server lookup,"Syntax
  Lookup the ip address of MyHost:

     NSLOOKUP [-option] MyHost
     
  Lookup ip address of MyHost on MyNameServer:
   
     NSLOOKUP [-option] MyHost MyNameServer
   
  Enter ""command"" mode:
   
     NSLOOKUP

Command Mode options:

 help or ?          - print a list of Command Mode options
 exit or ^C         - exit ""command mode"" 

 set all            - print options, current server and host
 finger [USER]      - finger the optional USER at the current default host
 MyHost             - print ip address of MyHost
 MyHost MyNameServer - print ip address of MyHost on MyNameServer
 set [no]debug      - print debugging info
 set [no]d2         - print exhaustive debugging info

 set domain=NAME    - set default domain name to NAME
 set root=NAME      - set root server to NAME
 root               - set current default server to the root
 server NAME        - set default server to NAME, using current default server
 lserver NAME       - set default server to NAME, using initial server
 set srchlist=N1[/N2/.../N6] - set domain to N1 and search list to N1, N2,...

 set retry=X        - set number of retries to X
 set timeout=X      - set initial time-out interval to X seconds
 set [no]defname    - append domain name to each query
 set [no]recurse    - ask for recursive answer to query
 set [no]search     - use domain search list
 set [no]vc         - always use a virtual circuit
 set class=X        - set query class (for example, IN (Internet), ANY)
 set [no]msxfr      - use MS fast zone transfer
 set ixfrver=X      - current version to use in IXFR transfer request
 set type=X         - set query type 
 set querytype=X    - set query type
                      (e.g. A, ANY, CNAME, MX, NS, PTR, SOA, SRV)

 ls [opt] DOMAIN [> FILE] - list addresses in DOMAIN
                            (and optionally output to FILE)

    -d          -  list all records
    -t TYPE     -  list records of the given Type (for example, A, CNAME, 
                   MX, NS, PTR, and so on)
    -a          -  list Aliases and canonical names.

 view FILE       - sort an 'ls' output file and view it with pg"
How do I windows backup folders to tape?,NTBACKUP,Windows Backup folders to tape,"Syntax

    NTBACKUP backup [systemstate] ""@bks file name""
                /J {""job name""} [options] [/SNAP:{on|off}] [/um]

Options

systemstate
  Back up the System State data. 
  This will also force the backup type to normal or copy.

@bks file name
  The name of the backup selection file (.bks file).
  In WinXP the at (@) character must precede this name.
  A backup selection file contains information on the files and folders 
  to be backed up. 
  You have to create the file using the GUI version of NT Backup.

/J {""job name""}
  The job name to be used in the log file 
  Describe the files and folders and the backup date-time.

/P {""pool name""}
  The media pool from which you want to use media. 
  Usually a subpool of the Backup media pool, such as 4mm DDS.
  If you select this you cannot use /A, /G, /F, or /T

/G {""guid name""}
  Overwrite or append to this tape. 
  Don’t use with a media Pool (/P).

/T {""tape name""}
  Overwrite or append to this tape.
  don’t use with a media Pool (/P).

/A
  Perform an append operation. 
  Either ""guid name"" (/G) or ""tape name"" (/T) must be specified with this switch. 
  don’t use with a media Pool (/P).

/N {""media name""}
  The new tape name. don’t use with Append (/A).

/F {""file name""}
  Backup to a file - logical disk path and file name.
  Do not use with the switches: /P /G /T.

/D {""set description""}
  Label for each backup set

/DS {""server name""}
  Back up the directory service file for MS Exchange 5.5 server. 
  This is not needed/does not work with Exchange 2000 since Exchange 2000
  uses Active Directory.

/IS {""server name""}
  Back up the Information Store file for an MS Exchange 5.5 Server.

/V:{yes|no}
  Verify the data after the backup is complete.

/R:{yes|no}
  Restrict access to this tape to the Owner/AdministratorS

/L:{f|s|n}
  The type of log file: f=full, s=summary, n=none

/M {backup type}
  The backup type. One of: normal, copy, differential, incremental, or daily

/RS:{yes|no}
  Backs up the migrated data files located in Remote Storage. 
  The /RS command-line option is not required to back up the local Removable 
  Storage database (that contains the Remote Storage placeholder files). 
  When you backup the %systemroot% folder, Backup automatically backs up the 
  Removable Storage database as well.

/HC:{on|off}
  Use hardware compression, if available, on the tape drive.

/SNAP:{on|off}
  Copy open/locked files, requires XP or 2003,
  creates a temporary snapshot for the volume shadow copy.

/um  (Windows 2000 only)
  Find the first available media, format it, and use for the current backup.
  Use with the /p switch to scan for available media pools. 
  This command is only for standalone tape devices (not tape loaders.)
  The /UM switch must be at the end of the command line."
